iter	Passed	Remaining
0	159	159392
1	187	93732
2	213	70884
3	229	57119
4	241	48155
5	253	41982
6	270	38320
7	288	35816
8	308	33955
9	327	32394
10	340	30619
11	352	29043
12	364	27678
13	383	27032
14	402	26445
15	421	25916
16	437	25313
17	449	24512
18	461	23826
19	479	23483
20	499	23267
21	518	23043
22	536	22783
23	548	22294
24	563	21972
25	583	21843
26	600	21652
27	620	21537
28	641	21475
29	660	21343
30	677	21179
31	695	21029
32	713	20921
33	734	20862
34	751	20716
35	763	20458
36	775	20191
37	793	20078
38	812	20022
39	834	20016
40	854	19997
41	872	19903
42	886	19734
43	900	19557
44	912	19374
45	930	19307
46	952	19308
47	971	19261
48	985	19124
49	1000	19001
50	1012	18845
51	1027	18726
52	1044	18660
53	1063	18632
54	1082	18598
55	1094	18448
56	1106	18313
57	1122	18223
58	1139	18177
59	1158	18149
60	1177	18130
61	1192	18047
62	1205	17932
63	1218	17827
64	1235	17779
65	1255	17766
66	1275	17760
67	1292	17721
68	1305	17609
69	1316	17495
70	1329	17395
71	1349	17395
72	1368	17380
73	1387	17368
74	1403	17314
75	1416	17221
76	1429	17129
77	1440	17025
78	1459	17012
79	1479	17009
80	1496	16979
81	1511	16916
82	1523	16826
83	1535	16748
84	1547	16662
85	1567	16658
86	1587	16663
87	1607	16658
88	1622	16605
89	1634	16531
90	1646	16444
91	1659	16376
92	1678	16366
93	1694	16334
94	1713	16320
95	1728	16280
96	1740	16202
97	1753	16134
98	1765	16070
99	1785	16065
100	1803	16057
101	1822	16047
102	1838	16009
103	1850	15945
104	1862	15876
105	1873	15801
106	1892	15794
107	1911	15789
108	1930	15783
109	1943	15727
110	1957	15677
111	1968	15609
112	1982	15565
113	2001	15553
114	2019	15541
115	2039	15543
116	2052	15491
117	2064	15432
118	2076	15372
119	2095	15366
120	2114	15358
121	2133	15357
122	2151	15340
123	2163	15284
124	2174	15219
125	2191	15198
126	2211	15200
127	2230	15198
128	2250	15193
129	2265	15159
130	2276	15099
131	2288	15049
132	2299	14992
133	2318	14984
134	2336	14971
135	2356	14967
136	2370	14932
137	2383	14885
138	2394	14833
139	2410	14809
140	2429	14803
141	2448	14797
142	2467	14787
143	2480	14744
144	2491	14690
145	2503	14642
146	2518	14616
147	2536	14603
148	2554	14591
149	2576	14599
150	2589	14557
151	2600	14510
152	2614	14474
153	2634	14470
154	2654	14468
155	2672	14458
156	2690	14443
157	2702	14401
158	2715	14365
159	2734	14358
160	2753	14348
161	2772	14343
162	2790	14329
163	2808	14318
164	2826	14305
165	2845	14295
166	2862	14280
167	2880	14265
168	2898	14253
169	2911	14212
170	2921	14164
171	2932	14117
172	2948	14093
173	2967	14086
174	2985	14075
175	3006	14074
176	3018	14034
177	3029	13991
178	3041	13950
179	3059	13936
180	3078	13930
181	3099	13928
182	3117	13919
183	3130	13882
184	3140	13835
185	3152	13795
186	3171	13786
187	3190	13781
188	3208	13767
189	3226	13753
190	3239	13720
191	3251	13681
192	3270	13673
193	3287	13658
194	3306	13651
195	3324	13639
196	3336	13601
197	3348	13562
198	3359	13522
199	3371	13485
200	3388	13470
201	3406	13457
202	3423	13442
203	3438	13417
204	3449	13378
205	3461	13341
206	3472	13303
207	3489	13287
208	3506	13270
209	3524	13258
210	3542	13244
211	3554	13212
212	3566	13176
213	3577	13140
214	3594	13124
215	3613	13115
216	3632	13108
217	3650	13093
218	3663	13064
219	3677	13037
220	3695	13025
221	3714	13016
222	3733	13008
223	3752	13000
224	3766	12972
225	3777	12936
226	3789	12905
227	3804	12882
228	3824	12875
229	3841	12862
230	3860	12851
231	3877	12834
232	3888	12800
233	3900	12768
234	3912	12735
235	3929	12720
236	3946	12703
237	3962	12686
238	3978	12667
239	3991	12638
240	4001	12601
241	4012	12569
242	4028	12548
243	4044	12532
244	4062	12519
245	4080	12505
246	4094	12481
247	4106	12451
248	4117	12419
249	4129	12388
250	4147	12376
251	4164	12359
252	4181	12347
253	4196	12324
254	4207	12291
255	4218	12260
256	4228	12225
257	4246	12211
258	4263	12199
259	4283	12191
260	4301	12179
261	4312	12147
262	4324	12118
263	4336	12090
264	4357	12084
265	4376	12075
266	4392	12059
267	4408	12041
268	4420	12011
269	4431	11981
270	4443	11954
271	4461	11939
272	4478	11926
273	4495	11910
274	4513	11898
275	4524	11868
276	4535	11838
277	4547	11810
278	4563	11792
279	4579	11776
280	4596	11760
